,0973.HK_px_USD,NTCO3.SA_px_USD,COUR_px_USD,WRBY_px_USD,ARZZ3.SA_px_USD,SOMA3.SA_px_USD,1112.HK_px_USD,FREY.PA_px_USD,LMND_px_USD,CONCHATORO.SN_px_USD,COCO_px_USD,LFG.AX_px_USD,2897.TW_px_USD,AMAL_px_USD,VITL_px_USD,ABB.AX_px_USD,BFT.WA_px_USD,IBAB.BR_px_USD,SML.NZ_px_USD,MOVI3.SA_px_USD,Index,
10/19/23,2.613737621,2.278129162,18.02000046,14.22000027,11.37424406,1.0524445,1.131511248,30.61431538,11.86999989,1.041241312,24.76000023,2.383646833,0.291379487,16.2542305,10.98999977,2.561624583,401.8212728,9.367557959,0.7942399,1.834373265,494.9877419,
10/20/23,2.613737621,2.359490107,17.84000015,14,11.48663346,1.06266673,1.131511248,30.61431538,11.72000027,1.039766396,24.51000023,2.383646833,0.291379487,15.85971165,10.56999969,2.561624583,401.8212728,9.367557959,0.7942399,1.829375851,493.7469152,
10/22/23,2.613737621,2.359490107,17.84000015,14,11.48663346,1.06266673,1.131511248,30.62809356,11.72000027,1.039766396,24.51000023,2.35724371,0.290598708,15.85971165,10.56999969,2.565958043,399.2205694,9.424720958,0.7942399,1.829375851,491.5116947,
10/23/23,2.709616744,2.383961533,17.88999939,13.85000038,11.76902138,1.108939758,1.116432973,30.85896598,11.57999992,1.050984885,24.87000084,2.388019505,0.293396781,15.58354759,10.59000015,2.471274661,411.5374032,9.922540374,0.778123636,1.852886766,503.1586711,
10/24/23,2.639380662,2.482871149,17.87000084,13.89999962,11.89984201,1.135703343,1.146633134,30.64366972,11.75,1.05808214,26.10000038,2.408813991,0.292693562,15.58354759,10.97000027,2.448215413,411.8506646,9.927477378,0.736652552,1.870805865,505.006259,
10/25/23,2.595240768,2.355412718,17.29999924,13.21000004,11.61596786,1.098835949,1.121745118,29.7366988,11.14999962,1.06064806,25.07999992,2.384569107,0.289239494,15.35669804,11.06999969,2.480229023,409.6375074,9.372902996,0.735532584,1.781355179,498.6292896,
10/26/23,2.602152099,2.424629138,17.18000031,13.27000046,12.02761043,1.134995449,1.116937623,29.7288452,11.02000046,1.064974158,23.90999985,2.350126318,0.290666197,15.93861485,11.21000004,2.457592354,418.9391843,9.497197609,0.740201067,1.822810793,506.7676353,
10/27/23,2.602152099,2.298681486,17.20000076,12.88000011,11.50953589,1.050825662,1.116937623,29.7288452,10.56999969,1.064974158,24.36000061,2.350126318,0.290666197,17.26025772,10.72999954,2.457592354,418.9391843,9.497197609,0.740201067,1.748717566,506.4781048,
10/29/23,2.569678609,2.298681486,17.20000076,12.88000011,11.50953589,1.050825662,1.134323652,29.727432,10.56999969,1.064974158,24.36000061,2.352131643,0.286338933,17.26025772,10.72999954,2.472368177,422.4101231,9.507310065,0.77832314,1.748717566,509.5561602,
10/30/23,2.570086038,2.276568304,17.70999908,13.22000027,11.2331793,1.002456602,1.111863714,30.07812468,10.61999989,1.082293509,23.37000084,2.412601867,0.288880296,17.43779373,10.85000038,2.496648362,425.9177513,9.871563731,0.776686354,1.723591372,513.1805754,
10/31/23,2.562465595,2.336981412,17.34000015,12.97999954,11.38276241,1.050520288,1.337620831,30.1830385,10.93999958,1.09014394,27.10000038,2.40083398,0.288112436,17.99011993,11.06000042,2.484470523,425.9177513,9.816989033,0.807151704,1.737628088,517.3456522,
11/1/23,2.54654932,2.343236385,17.82999992,12.40999985,11.51199226,1.091783221,1.332957591,30.6144774,11,1.09014394,28.04000092,2.432166329,0.291860352,17.81258583,11.34000015,2.516894381,415.7443696,10.06620858,0.799231336,1.794076429,510.1669429,
11/2/23,2.555920342,2.343236385,18.01000023,12.93000031,11.51199226,1.091783221,1.390337196,30.70857828,16.17000008,1.094953638,28.47999954,2.434742586,0.296620981,18.24655914,11.44999981,2.301026993,406.9857371,10.3838188,0.789963941,1.794076429,508.731573,
11/3/23,2.555920342,2.517872877,18.04999924,13.65999985,12.15780643,1.199729717,1.390337196,30.70857828,17.31999969,1.102642735,28.93000031,2.434742586,0.296620981,19.20326996,11.64999962,2.301026993,406.9857371,10.3838188,0.789963941,1.975065272,512.7979491,
11/5/23,2.562496707,2.517872877,18.04999924,13.65999985,12.15780643,1.199729717,1.408038869,31.04012111,17.31999969,1.102642735,28.93000031,2.468267802,0.298712963,19.20326996,11.64999962,2.35225885,421.5293083,10.77495998,0.791426247,1.975065272,526.2645869,
11/6/23,2.488188658,2.469186875,17.69000053,13.82999992,11.69205571,1.133944646,1.39608277,31.00485014,16.36000061,1.092607414,28.92000008,2.395076642,0.296727775,19.23301125,12.07999992,2.375019523,418.2747608,10.63407844,0.79863971,1.958817688,522.0010624,
11/7/23,2.470739853,2.58541947,18.76000023,14.30000019,12.60458864,1.223061614,1.466783935,30.93686432,16.84000015,1.086278193,27.82999992,2.411060174,0.295994398,19.20327187,12.01000023,2.398721552,410.3327054,10.67493801,0.818983804,2.021335116,516.876436,
11/8/23,2.45432534,2.548610907,18.69000053,10.86999989,11.91990329,1.183105888,1.467674542,30.97629291,16,1.072507536,28.15999985,2.401578926,0.293195885,19.17352867,11.71000004,2.389288824,411.1058869,10.77422371,0.809864507,2.036326849,513.1685135,
11/9/23,2.471522962,2.515335833,18.45999908,10.15999985,11.48058855,1.254203569,1.446095338,30.8511648,15.05000019,1.058550909,28.35000038,2.385213883,0.292846162,19.1140461,11.80000019,2.347559751,408.7076855,10.51736662,0.812681599,2.054543538,508.871729,
11/10/23,2.471522962,2.622701763,18.65999985,10.06000042,11.8119884,1.345345208,1.446095338,30.8511648,14.22000027,1.077417863,28.90999985,2.385213883,0.292846162,19.34206581,12.01000023,2.347559751,408.7076855,10.51736662,0.812681599,2.197397151,509.7120548,
11/12/23,2.496367465,2.622701763,18.65999985,10.06000042,11.8119884,1.345345208,1.407872766,30.91735289,14.22000027,1.077417863,28.90999985,2.243917798,0.292019969,19.34206581,12.01000023,2.348426304,422.5115098,10.61475837,0.789742793,2.197397151,521.7872576,
